Element,Section,P,Vy,Vz,T,My,Mz
1,1,2253.604093573516,2.5797282506315265e-11,2812.8004786420265,6.061581832697948e-12,1.4547061389633798e-11,1452.9566874230152
1,2,2253.604093573516,1.8261758102485242e-11,2060.3264982922387,6.061581832697948e-12,1.4547061389633798e-11,1452.9566874230152
1,3,2253.604093573516,3.978511413048396e-12,635.114106954232,6.061581832697948e-12,1.4547061389633798e-11,1452.9566874230152
1,4,2253.604093573516,1.0309402874718272e-11,795.7192951388336,6.061581832697948e-12,1.4547061389633798e-11,1452.9566874230152
1,5,2253.604093573516,1.7844713481837098e-11,1547.503613866025,6.061581832697948e-12,1.4547061389633798e-11,1452.9566874230152
2,1,0.0,5.471328720646624e-27,2775.0683149488586,4.248072942777979e-12,2.735664360323312e-27,1387.5341574744298
2,2,0.0,3.58182543062129e-27,1816.7086588466702,4.248072942777979e-12,2.735664360323312e-27,1387.5341574744298
2,3,0.0,2.3862458192431716e-42,8.560976116294873e-13,4.248072942777979e-12,2.735664360323312e-27,1387.5341574744298
2,4,0.0,3.581825430621295e-27,1816.7086588466716,4.248072942777979e-12,2.735664360323312e-27,1387.5341574744298
2,5,0.0,5.471328720646627e-27,2775.06831494886,4.248072942777979e-12,2.735664360323312e-27,1387.5341574744298
3,1,2253.6040935735155,2.5779500898453372e-11,2812.8004786420274,6.061581832697948e-12,1.4476656931669211e-11,1452.9566874230159
3,2,2253.6040935735155,1.828061870255843e-11,2060.3264982922396,6.061581832697948e-12,1.4476656931669211e-11,1452.9566874230159
3,3,2253.6040935735155,4.068528649701234e-12,635.1141069542316,6.061581832697948e-12,1.4476656931669211e-11,1452.9566874230159
3,4,2253.6040935735155,1.015393913058006e-11,795.7192951388345,6.061581832697948e-12,1.4476656931669211e-11,1452.9566874230159
3,5,2253.6040935735155,1.765231899216443e-11,1547.5036138660264,6.061581832697948e-12,1.4476656931669211e-11,1452.9566874230159
4,1,863.7692189761966,9.862081145697732e-12,1251.868129525402,5.360397140203276e-12,7.875603985646873e-12,988.8626238553853
4,2,863.7692189761966,5.783933317119581e-12,740.398617550664,5.360397140203276e-12,7.875603985646873e-12,988.8626238553853
4,3,863.7692189761966,1.964739858590796e-12,238.54404468054923,5.360397140203276e-12,7.875603985646873e-12,988.8626238553853
4,4,863.7692189761966,9.689501022991269e-12,1204.769110483377,5.360397140203276e-12,7.875603985646873e-12,988.8626238553853
4,5,863.7692189761966,1.37685468559271e-11,1716.669597984827,5.360397140203276e-12,7.875603985646873e-12,988.8626238553853
5,1,0.0,2.4843686220752e-26,1716.669597984836,2.154464767362093e-12,1.2421843110376005e-26,858.3347989924183
5,2,0.0,1.6264010378332484e-26,1123.8240537135598,2.154464767362093e-12,1.2421843110376005e-26,858.3347989924183
5,3,0.0,8.885949041395955e-42,6.835884941759835e-13,2.154464767362093e-12,1.2421843110376005e-26,858.3347989924183
5,4,0.0,1.62640103783325e-26,1123.8240537135607,2.154464767362093e-12,1.2421843110376005e-26,858.3347989924183
5,5,0.0,2.4843686220752022e-26,1716.6695979848373,2.154464767362093e-12,1.2421843110376005e-26,858.3347989924183
6,1,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0.0,2.4843686220752e-26,1716.6695979848246,2.1820421519808087e-12,1.2421843110376005e-26,858.3347989924126
7,2,0.0,1.6264010378332484e-26,1123.8240537135525,2.1820421519808087e-12,1.2421843110376005e-26,858.3347989924126
7,3,0.0,8.885949041395955e-42,6.442301321958153e-13,2.1820421519808087e-12,1.2421843110376005e-26,858.3347989924126
7,4,0.0,1.62640103783325e-26,1123.8240537135537,2.1820421519808087e-12,1.2421843110376005e-26,858.3347989924126
7,5,0.0,2.4843686220752022e-26,1716.6695979848257,2.1820421519808087e-12,1.2421843110376005e-26,858.3347989924126
8,1,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0,0.0,0.0
10,1,2253.6040935735386,2.5654409598671043e-11,2812.8004786419915,6.061581832697948e-12,1.4402214896349144e-11,1452.956687422995
10,2,2253.6040935735386,1.819395578878425e-11,2060.3264982922137,6.061581832697948e-12,1.4402214896349144e-11,1452.956687422995
10,3,2253.6040935735386,4.053352840651172e-12,635.114106954227,6.061581832697948e-12,1.4402214896349144e-11,1452.956687422995
10,4,2253.6040935735386,1.0093112196869285e-11,795.7192951388191,6.061581832697948e-12,1.4402214896349144e-11,1452.956687422995
10,5,2253.6040935735386,1.755328115447478e-11,1547.5036138660003,6.061581832697948e-12,1.4402214896349144e-11,1452.956687422995
11,1,863.769218976196,1.0108965130470763e-11,1251.8681295254034,5.360397140203276e-12,8.059178331916836e-12,988.8626238553859
11,2,863.769218976196,5.937635573875984e-12,740.398617550665,5.360397140203276e-12,8.059178331916836e-12,988.8626238553859
11,3,863.769218976196,2.009804393674282e-12,238.54404468054886,5.360397140203276e-12,8.059178331916836e-12,988.8626238553859
11,4,863.769218976196,9.903762460086005e-12,1204.7691104833773,5.360397140203276e-12,8.059178331916836e-12,988.8626238553859
11,5,863.769218976196,1.4077075357756716e-11,1716.669597984828,5.360397140203276e-12,8.059178331916836e-12,988.8626238553859
12,1,863.7692189762025,1.0217616885053168e-11,1251.868129525394,5.360397140203276e-12,8.091894028073506e-12,988.8626238553776
12,2,863.7692189762025,6.029859801432863e-12,740.3986175506593,5.360397140203276e-12,8.091894028073506e-12,988.8626238553776
12,3,863.7692189762025,1.9562614140926523e-12,238.54404468054628,5.360397140203276e-12,8.091894028073506e-12,988.8626238553776
12,4,863.7692189762025,9.878013597960256e-12,1204.7691104833666,5.360397140203276e-12,8.091894028073506e-12,988.8626238553776
12,5,863.7692189762025,1.4067998896711798e-11,1716.6695979848132,5.360397140203276e-12,8.091894028073506e-12,988.8626238553776
13,1,0.0,0.0,0.0,0.0,0.0,0.0
13,2,0.0,0.0,0.0,0.0,0.0,0.0
13,3,0.0,0.0,0.0,0.0,0.0,0.0
13,4,0.0,0.0,0.0,0.0,0.0,0.0
13,5,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0.0,5.471328720646624e-27,2775.0683149488364,4.268625279905319e-12,2.735664360323312e-27,1387.5341574744184
14,2,0.0,3.58182543062129e-27,1816.7086588466557,4.268625279905319e-12,2.735664360323312e-27,1387.5341574744184
14,3,0.0,2.3862458192431716e-42,6.519106359368929e-13,4.268625279905319e-12,2.735664360323312e-27,1387.5341574744184
14,4,0.0,3.581825430621295e-27,1816.7086588466573,4.268625279905319e-12,2.735664360323312e-27,1387.5341574744184
14,5,0.0,5.471328720646627e-27,2775.0683149488377,4.268625279905319e-12,2.735664360323312e-27,1387.5341574744184
15,1,2253.604093573536,2.5844303180735862e-11,2812.800478641993,6.061581832697948e-12,1.4542127978408107e-11,1452.956687422996
15,2,2253.604093573536,1.831141481563635e-11,2060.326498292215,6.061581832697948e-12,1.4542127978408107e-11,1452.956687422996
15,3,2253.604093573536,4.033969905102198e-12,635.1141069542267,6.061581832697948e-12,1.4542127978408107e-11,1452.956687422996
15,4,2253.604093573536,1.025083592254821e-11,795.7192951388204,6.061581832697948e-12,1.4542127978408107e-11,1452.956687422996
15,5,2253.604093573536,1.7783377269926715e-11,1547.5036138660018,6.061581832697948e-12,1.4542127978408107e-11,1452.956687422996
16,1,863.7692189762008,9.504660986105413e-12,1251.868129525392,5.360397140203276e-12,7.667117498890007e-12,988.8626238553768
16,2,863.7692189762008,5.53441229728434e-12,740.3986175506581,5.360397140203276e-12,7.667117498890007e-12,988.8626238553768
16,3,863.7692189762008,2.007762561343839e-12,238.54404468054673,5.360397140203276e-12,7.667117498890007e-12,988.8626238553768
16,4,863.7692189762008,9.529059582726423e-12,1204.7691104833664,5.360397140203276e-12,7.667117498890007e-12,988.8626238553768
16,5,863.7692189762008,1.3500175883398986e-11,1716.6695979848123,5.360397140203276e-12,7.667117498890007e-12,988.8626238553768
