Node,Ux,Uy,Uz,Rx,Ry,Rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0003069517547222109,2.4432571314982123e-18,2.504004548415018e-06,5.735581329211358e-19,9.409097880803449e-05,1.2052561946326049e-18
3,0.0003069517547222109,2.379448588202571e-18,2.504004548415017e-06,5.722120415377738e-19,9.409097880803445e-05,1.2052561946326049e-18
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0006487219931824957,4.6581745215000355e-18,3.4630063053546934e-06,3.009728197502813e-19,5.916164709915392e-05,2.3183005500440393e-18
6,0.0006487219931824957,4.61623707281329e-18,3.4630063053546917e-06,3.0497783549119177e-19,5.916164709915392e-05,2.3183005500440393e-18
7,0.00064872199318249,4.61623707281329e-18,3.4630063053547218e-06,3.0655387032478913e-19,5.916164709915355e-05,2.3183005500440393e-18
8,0.00064872199318249,4.6581745215000355e-18,3.4630063053547213e-06,3.062954954835465e-19,5.9161647099153556e-05,2.3183005500440393e-18
9,0.0003069517547222079,2.4432571314982123e-18,2.504004548415042e-06,5.8430542642849665e-19,9.40909788080338e-05,1.2052561946326049e-18
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0003069517547222079,2.379448588202571e-18,2.5040045484150394e-06,5.6685772068526505e-19,9.409097880803373e-05,1.2052561946326049e-18
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0006487219931824927,7.776587455931183e-20,0.0,0.0,0.0,2.3183005500440393e-18
14,0.00030695175472220945,7.120757303105258e-20,0.0,0.0,0.0,1.2052561946326049e-18

REACTIONS
Node,Fx,Fy,Fz,Mx,My,Mz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
